TAXON_ID_CH;CENTRE;GROUP;TAXON_ID;TAXON_NAME;PRIO;YEAR_min;YEAR_max;ALT_min;ALT_max;PREC_min;REGION;GUILD;GRP_WEIGHT;CIBLE
swissfungi:59;swissfungi;FUNG;59;Agaricus lutosus (F.H. Moeller) F.H. Moeller;3;1985;NA;NA;NA;250;CH;14;1;NPA
swissfungi:59;swissfungi;FUNG;59;Agaricus lutosus (F.H. Moeller) F.H. Moeller;3;1985;NA;NA;NA;250;CH;102;1;NPA
infofauna:29310;infofauna;LEPI;29310;Aglaope infausta (Linnaeus, 1767);1;2000;NA;NA;NA;250;CH;15;0.2;NPA
infofauna:29310;infofauna;LEPI;29310;Aglaope infausta (Linnaeus, 1767);1;2000;NA;NA;NA;250;CH;102;0.2;NPA
swisslichens:6042;swisslichens;LICH;6042;Agonimia opuntiella;;1989;NA;NA;NA;250;CH;14;0.2;1
swisslichens:6042;swisslichens;LICH;6042;Agonimia opuntiella;;1989;NA;NA;NA;250;CH;102;0.2;1
infofauna:18441;infofauna;COLEca;18441;Agonum ericeti;1;2000;NA;NA;NA;250;CH;9;1;1
infofauna:18441;infofauna;COLEca;18441;Agonum ericeti;1;2000;NA;NA;NA;250;CH;101;1;1
infofauna:18458;infofauna;COLEca;18458;Agonum fuliginosum;;2000;NA;NA;NA;250;CH;6;0.2;1
infofauna:18458;infofauna;COLEca;18458;Agonum fuliginosum;;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:18457;infofauna;COLEca;18457;Agonum gracile;3;2000;NA;NA;NA;250;CH;6;0.2;1
infofauna:18457;infofauna;COLEca;18457;Agonum gracile;3;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:18613;infofauna;COLEca;18613;Agonum hypocrita (Apfelbeck, 194);2;2000;NA;NA;NA;250;CH;5;1;1
infofauna:18613;infofauna;COLEca;18613;Agonum hypocrita (Apfelbeck, 194);2;2000;NA;NA;NA;250;CH;101;1;1
infofauna:18451;infofauna;COLEca;18451;Agonum lugens;4;2000;NA;NA;NA;250;CH;6;0.2;1
infofauna:18451;infofauna;COLEca;18451;Agonum lugens;4;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:18444;infofauna;COLEca;18444;Agonum marginatum;;2000;NA;NA;NA;250;CH;6;0.2;1
infofauna:18444;infofauna;COLEca;18444;Agonum marginatum;;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:18455;infofauna;COLEca;18455;Agonum scitulum Dejean, 1828;4;2000;NA;NA;NA;250;CH;6;0.2;1
infofauna:18455;infofauna;COLEca;18455;Agonum scitulum Dejean, 1828;4;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:18447;infofauna;COLEca;18447;Agonum versutum Sturm, 1824;4;2000;NA;NA;NA;250;CH;6;0.2;1
infofauna:18447;infofauna;COLEca;18447;Agonum versutum Sturm, 1824;4;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:21358;infofauna;COLE;21358;Agrilus antiquus;3;2000;NA;NA;NA;250;CH;15;0.2;1
infofauna:21358;infofauna;COLE;21358;Agrilus antiquus;3;2000;NA;NA;NA;250;CH;102;0.2;1
infofauna:21363;infofauna;COLE;21363;Agrilus biguttatus;;2000;NA;NA;NA;250;CH;16;0.2;1
infofauna:21363;infofauna;COLE;21363;Agrilus biguttatus;;2000;NA;NA;NA;250;CH;102;0.2;1
infofauna:21364;infofauna;COLE;21364;Agrilus convexicollis;;2000;NA;NA;NA;250;CH;8;0.2;1
infofauna:21364;infofauna;COLE;21364;Agrilus convexicollis;;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:21372;infofauna;COLE;21372;Agrilus laticornis;;2000;NA;NA;NA;250;CH;16;0.2;1
infofauna:21372;infofauna;COLE;21372;Agrilus laticornis;;2000;NA;NA;NA;250;CH;102;0.2;1
infofauna:21373;infofauna;COLE;21373;Agrilus lineola;2;2000;NA;NA;NA;250;CH;8;0.2;1
infofauna:21373;infofauna;COLE;21373;Agrilus lineola;2;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:21379;infofauna;COLE;21379;Agrilus sinuatus;;2000;NA;NA;NA;250;CH;11;0.2;1
infofauna:21381;infofauna;COLE;21381;Agrilus subauratus;3;2000;NA;NA;NA;250;CH;8;0.2;1
infofauna:21381;infofauna;COLE;21381;Agrilus subauratus;3;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:21383;infofauna;COLE;21383;Agrilus viridis;;2000;NA;NA;NA;250;CH;15;0.2;1
infofauna:21383;infofauna;COLE;21383;Agrilus viridis;;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:7600;infoflora;TRAC;7600;Agrimonia procera Wallr.;4;2000;NA;NA;NA;250;CH;15;0.2;1
infoflora:7600;infoflora;TRAC;7600;Agrimonia procera Wallr.;4;2000;NA;NA;NA;250;CH;102;0.2;1
swissfungi:108;swissfungi;FUNG;108;Agrocybe elatella;4;1985;NA;NA;NA;250;CH;7;1;1
swissfungi:108;swissfungi;FUNG;108;Agrocybe elatella;4;1985;NA;NA;NA;250;CH;101;1;1
swissfungi:109;swissfungi;FUNG;109;Agrocybe pediades;;1985;NA;NA;NA;250;CH;11;0.2;1
swissfungi:13218;swissfungi;FUNG;13218;Agrocybe pusiola;;1985;NA;NA;NA;250;CH;14;1;1
swissfungi:13218;swissfungi;FUNG;13218;Agrocybe pusiola;;1985;NA;NA;NA;250;CH;102;1;1
swissfungi:116;swissfungi;FUNG;116;Agrocybe vervacti;4;1985;NA;NA;NA;250;CH;14;1;1
swissfungi:116;swissfungi;FUNG;116;Agrocybe vervacti;4;1985;NA;NA;NA;250;CH;102;1;1
infoflora:8500;infoflora;TRAC;8500;Agrostis canina L.;;2000;NA;NA;NA;250;CH;6;0.2;1
infoflora:8500;infoflora;TRAC;8500;Agrostis canina L.;;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:26463;infofauna;TRIC;26463;Agrypnia obsoleta;2;2000;NA;NA;NA;250;CH;5;1;1
infofauna:26463;infofauna;TRIC;26463;Agrypnia obsoleta;2;2000;NA;NA;NA;250;CH;101;1;1
infoflora:9700;infoflora;TRAC;9700;Aira caryophyllea L.;4;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:9700;infoflora;TRAC;9700;Aira caryophyllea L.;4;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:9900;infoflora;TRAC;9900;Aira elegantissima Schur;3;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:9900;infoflora;TRAC;9900;Aira elegantissima Schur;3;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:10200;infoflora;TRAC;10200;Ajuga genevensis L.;;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:10200;infoflora;TRAC;10200;Ajuga genevensis L.;;2000;NA;NA;NA;250;CH;102;0.2;1
swissfungi:140;swissfungi;FUNG;140;Aleurodiscus aurantius (Pers.: Fr.) J. Schroet.;4;1985;NA;NA;NA;250;CH;15;0.2;NPA
swissfungi:140;swissfungi;FUNG;140;Aleurodiscus aurantius (Pers.: Fr.) J. Schroet.;4;1985;NA;NA;NA;250;CH;102;0.2;NPA
infoflora:21800;infoflora;TRAC;21800;Alisma lanceolatum With.;3;2000;NA;NA;NA;250;CH;5;0.2;1
infoflora:21800;infoflora;TRAC;21800;Alisma lanceolatum With.;3;2000;NA;NA;NA;250;CH;6;0.2;1
infoflora:21800;infoflora;TRAC;21800;Alisma lanceolatum With.;3;2000;NA;NA;NA;250;CH;101;0.2;1
infoflora:21800;infoflora;TRAC;21800;Alisma lanceolatum With.;3;2000;NA;NA;NA;250;CH;101;0.2;1
infoflora:21900;infoflora;TRAC;21900;Alisma plantago-aquatica L.;;2000;NA;NA;NA;250;CH;5;0.2;1
infoflora:21900;infoflora;TRAC;21900;Alisma plantago-aquatica L.;;2000;NA;NA;NA;250;CH;6;0.2;1
infoflora:21900;infoflora;TRAC;21900;Alisma plantago-aquatica L.;;2000;NA;NA;NA;250;CH;101;0.2;1
infoflora:21900;infoflora;TRAC;21900;Alisma plantago-aquatica L.;;2000;NA;NA;NA;250;CH;101;0.2;1
infoflora:22200;infoflora;TRAC;22200;Allium angulosum L.;4;2000;NA;NA;NA;250;CH;6;0.2;1
infoflora:22200;infoflora;TRAC;22200;Allium angulosum L.;4;2000;NA;NA;NA;250;CH;101;0.2;1
infoflora:22400;infoflora;TRAC;22400;Allium carinatum L. subsp. carinatum;;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:22400;infoflora;TRAC;22400;Allium carinatum L. subsp. carinatum;;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:22500;infoflora;TRAC;22500;Allium carinatum subsp. pulchellum Bonnier & Layens;4;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:22500;infoflora;TRAC;22500;Allium carinatum subsp. pulchellum Bonnier & Layens;4;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:23100;infoflora;TRAC;23100;Allium lusitanicum Lam.;;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:23100;infoflora;TRAC;23100;Allium lusitanicum Lam.;;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:24300;infoflora;TRAC;24300;Allium scorodoprasum L.;;2000;NA;NA;NA;250;CH;15;0.2;1
infoflora:24300;infoflora;TRAC;24300;Allium scorodoprasum L.;;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:24500;infoflora;TRAC;24500;Allium sphaerocephalon L.;;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:24500;infoflora;TRAC;24500;Allium sphaerocephalon L.;;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:24700;infoflora;TRAC;24700;Allium suaveolens Jacq.;3;2000;NA;NA;NA;250;CH;6;0.2;1
infoflora:24700;infoflora;TRAC;24700;Allium suaveolens Jacq.;3;2000;NA;NA;NA;250;CH;101;0.2;1
nism:493;nism;BRYO;493;Aloina aloides aggr.;2;1984;NA;NA;NA;250;CH;14;0.2;1
nism:493;nism;BRYO;493;Aloina aloides aggr.;2;1984;NA;NA;NA;250;CH;102;0.2;1
nism:497;nism;BRYO;497;Aloina rigida (Hedw.) Limpr.;4;1984;NA;NA;NA;250;CH;14;0.2;1
nism:497;nism;BRYO;497;Aloina rigida (Hedw.) Limpr.;4;1984;NA;NA;NA;250;CH;102;0.2;1
infoflora:25500;infoflora;TRAC;25500;Alopecurus aequalis Sobol.;4;2000;NA;NA;NA;250;CH;5;0.2;1
infoflora:25500;infoflora;TRAC;25500;Alopecurus aequalis Sobol.;4;2000;NA;NA;NA;250;CH;7;0.2;1
infoflora:25500;infoflora;TRAC;25500;Alopecurus aequalis Sobol.;4;2000;NA;NA;NA;250;CH;101;0.2;1
infoflora:25500;infoflora;TRAC;25500;Alopecurus aequalis Sobol.;4;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:26643;infofauna;TRIC;26643;Alpopsyche ucenorum (McLachlan, 1876);1;2000;NA;NA;NA;250;CH;1;1;1
infoflora:26700;infoflora;TRAC;26700;Alyssum alpestre L.;2;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:26700;infoflora;TRAC;26700;Alyssum alpestre L.;2;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:26800;infoflora;TRAC;26800;Alyssum alyssoides (L.) L.;;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:26800;infoflora;TRAC;26800;Alyssum alyssoides (L.) L.;;2000;NA;NA;NA;250;CH;102;0.2;1
infofauna:70110;infofauna;AMPH;70110;Alytes obstetricans;3;2000;NA;NA;NA;250;CH;5;1;1
infofauna:70110;infofauna;AMPH;70110;Alytes obstetricans;3;2000;NA;NA;NA;250;CH;101;1;1
swissfungi:164;swissfungi;FUNG;164;Amanita beckeri Huijsman;3;1985;NA;NA;NA;250;CH;16;0.2;NPA
swissfungi:164;swissfungi;FUNG;164;Amanita beckeri Huijsman;3;1985;NA;NA;NA;250;CH;102;0.2;NPA
swissfungi:166;swissfungi;FUNG;166;Amanita caesarea;4;1985;NA;NA;NA;250;CH;16;0.2;1
swissfungi:166;swissfungi;FUNG;166;Amanita caesarea;4;1985;NA;NA;NA;250;CH;102;0.2;1
swissfungi:174;swissfungi;FUNG;174;Amanita friabilis;2;1985;NA;NA;NA;250;CH;8;0.2;1
swissfungi:174;swissfungi;FUNG;174;Amanita friabilis;2;1985;NA;NA;NA;250;CH;101;0.2;1
swissfungi:175;swissfungi;FUNG;175;Amanita fulva;;1985;NA;NA;NA;250;CH;9;0.2;1
swissfungi:175;swissfungi;FUNG;175;Amanita fulva;;1985;NA;NA;NA;250;CH;101;0.2;1
swissfungi:178;swissfungi;FUNG;178;Amanita lividopallescens;4;1985;NA;NA;NA;250;CH;14;1;1
swissfungi:178;swissfungi;FUNG;178;Amanita lividopallescens;4;1985;NA;NA;NA;250;CH;102;1;1
swissfungi:180;swissfungi;FUNG;180;Amanita mairei;;1985;NA;NA;NA;250;CH;15;0.2;1
swissfungi:180;swissfungi;FUNG;180;Amanita mairei;;1985;NA;NA;NA;250;CH;102;0.2;1
swissfungi:193;swissfungi;FUNG;193;Amanita solitaria;4;1985;NA;NA;NA;250;CH;8;0.2;1
swissfungi:193;swissfungi;FUNG;193;Amanita solitaria;4;1985;NA;NA;NA;250;CH;101;0.2;1
swissfungi:198;swissfungi;FUNG;198;Amanita strobiliformis;;1985;NA;NA;NA;250;CH;8;0.2;1
swissfungi:198;swissfungi;FUNG;198;Amanita strobiliformis;;1985;NA;NA;NA;250;CH;101;0.2;1
infofauna:18598;infofauna;COLEca;18598;Amara gebleri Dejean, 1831;4;2000;NA;NA;NA;250;CH;8;0.2;1
infofauna:18598;infofauna;COLEca;18598;Amara gebleri Dejean, 1831;4;2000;NA;NA;NA;250;CH;101;0.2;1
nism:498;nism;BRYO;498;Amblyodon dealbatus (Hedw.) P.Beauv.;4;1984;NA;NA;NA;250;CH;1;0.2;1
nism:498;nism;BRYO;498;Amblyodon dealbatus (Hedw.) P.Beauv.;4;1984;NA;NA;NA;250;CH;6;0.2;1
nism:498;nism;BRYO;498;Amblyodon dealbatus (Hedw.) P.Beauv.;4;1984;NA;NA;NA;250;CH;101;0.2;1
nism:520;nism;BRYO;520;Amblystegium radicale (P.Beauv.) Schimp.;4;1984;NA;NA;NA;250;CH;6;0.2;1
nism:520;nism;BRYO;520;Amblystegium radicale (P.Beauv.) Schimp.;4;1984;NA;NA;NA;250;CH;101;0.2;1
infofauna:18331;infofauna;COLEca;18331;Amblystomus niger (Heer, 1841);1;2000;NA;NA;NA;250;CH;6;0.2;1
infofauna:18331;infofauna;COLEca;18331;Amblystomus niger (Heer, 1841);1;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:26504;infofauna;TRIC;26504;Anabolia brevipennis;2;2000;NA;NA;NA;250;CH;5;1;1
infofauna:26504;infofauna;TRIC;26504;Anabolia brevipennis;2;2000;NA;NA;NA;250;CH;101;1;1
infoflora:29600;infoflora;TRAC;29600;Anacamptis pyramidalis (L.) Rich.;;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:29600;infoflora;TRAC;29600;Anacamptis pyramidalis (L.) Rich.;;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:30100;infoflora;TRAC;30100;Anagallis tenella (L.) L.;1;2000;NA;NA;NA;250;CH;6;0.2;NPA
infoflora:30100;infoflora;TRAC;30100;Anagallis tenella (L.) L.;1;2000;NA;NA;NA;250;CH;101;0.2;NPA
infofauna:22937;infofauna;COLE;22937;Anaglyptus gibbosus;4;2000;NA;NA;NA;250;CH;16;0.2;1
infofauna:22937;infofauna;COLE;22937;Anaglyptus gibbosus;4;2000;NA;NA;NA;250;CH;102;0.2;1
swisslichens:45;swisslichens;LICH;45;Anaptychia ciliaris;4;1989;NA;NA;NA;250;CH;11;0.2;1
swisslichens:1826;swisslichens;LICH;1826;Anaptychia crinalis;3;1989;NA;NA;NA;250;CH;8;0.2;1
swisslichens:1826;swisslichens;LICH;1826;Anaptychia crinalis;3;1989;NA;NA;NA;250;CH;101;0.2;1
infofauna:59120;infofauna;APID;59120;Andrena combinata;4;2000;NA;NA;NA;250;CH;14;0.2;1
infofauna:59120;infofauna;APID;59120;Andrena combinata;4;2000;NA;NA;NA;250;CH;102;0.2;1
infofauna:59122;infofauna;APID;59122;Andrena curvungula;3;2000;NA;NA;NA;250;CH;14;0.2;1
infofauna:59122;infofauna;APID;59122;Andrena curvungula;3;2000;NA;NA;NA;250;CH;102;0.2;1
infofauna:59124;infofauna;APID;59124;Andrena denticulata;3;2000;NA;NA;NA;250;CH;15;0.2;1
infofauna:59124;infofauna;APID;59124;Andrena denticulata;3;2000;NA;NA;NA;250;CH;102;0.2;1
infofauna:59129;infofauna;APID;59129;Andrena falsifica;;2000;NA;NA;NA;250;CH;14;0.2;1
infofauna:59129;infofauna;APID;59129;Andrena falsifica;;2000;NA;NA;NA;250;CH;102;0.2;1
infofauna:59130;infofauna;APID;59130;Andrena ferox;4;2000;NA;NA;NA;250;CH;16;0.2;1
